,Artists,Name,Year,Weekly.rank,Week,Max.Weeks.on.chart,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
3876,Eminem,Insane,2009,85,2009-06-04,0,"Horrorcore,Rap",0.2566444533897054,0.8739977090492552,0.8744547292265135,0.8181818181818182,0.3038874052510499,0.6808397836920794,4
3877,Godsmack,Speak,2006,85,2006-04-12,3,Rock,0.0,0.3298969072164948,0.8978614746249601,0.6363636363636364,0.3038874052510499,0.5154278443431237,0
3878,Martina McBride,God's Will,2005,85,2005-03-23,8,Country,0.6002035505851099,0.3264604810996564,0.2935418661559741,0.09090909090909091,0.4490776432567118,0.16551797264341,3
3879,Eric Paslay,Song About A Girl,2014,85,2014-07-11,10,Country,0.3568491900716983,0.563573883161512,0.8819023300351101,0.8181818181818182,0.2672830102566316,0.7497614250874776,4
3880,Young Greatness,Moolah,2016,85,2016-06-18,9,Rap,0.02637805848373791,0.7560137457044673,0.5361208639216939,0.8181818181818182,0.4895367554999105,0.2386809458169866,2
3881,Musiq Soulchild,Girl Next Door,2001,85,2001-09-18,8,R&;B,0.1094048403059606,0.6723940435280641,0.6127247579529738,0.9090909090909092,0.1800923898630188,0.7815714134238152,4
3882,Brad Paisley,Me Neither,2000,85,2000-05-16,4,"Country,Rock",0.02770730499074394,0.5830469644902634,0.94254707947654,0.0,0.4221994708244161,0.8579153854310255,1
3883,Hinder,Without You,2009,85,2009-01-08,9,Rock,0.02985454934821522,0.3424971363115693,0.8084902649218001,0.2727272727272727,0.5384022351192495,0.268370268264235,1
3884,George Strait,The Seashores Of Old Mexico,2006,85,2006-05-17,7,"Country,Rock",0.1707546790908543,0.4524627720504009,0.5531439514842005,0.5454545454545454,0.667452001060818,0.5101261796204009,0
3885,Shinedown,Sound Of Madness,2009,85,2009-08-06,9,Rock,4.803692376857172e-05,0.2462772050400917,0.9393552505585699,0.1818181818181818,0.8465144104749627,0.3118439189905631,1
3886,Taylor Swift,Long Live,2010,85,2010-11-11,0,"Power Pop,Rock,Country",0.03680753107716984,0.3493699885452463,0.6637940206404938,0.6363636363636364,0.9584800695699367,0.1135616583607253,0
3887,Ashlee Simpson,La La,2005,86,2005-02-23,5,"Pop,Pop-Rock",8.402882918904265e-05,0.4822451317296679,0.9074369613788701,1.0,0.5011810853650263,0.445445870003181,0
3888,Backstreet Boys,Inconsolable,2007,86,2007-09-26,2,"Boy Band,Pop",0.01901607782955068,0.3287514318442153,0.742525800617087,0.6363636363636364,0.6865282257815823,0.2079312904251935,0
3889,The Hives,Hate To Say I Told You So,2002,86,2002-07-23,11,"Indie Rock,Punk Rock,Soundtrack,Alternative Rock,Garage Punk,Rock",0.001112149877492552,0.3871706758304696,0.9287158208320034,0.4545454545454546,0.5368788508625315,0.3638002332732478,0
3890,"Jacquees, Dej Loaf",At The Club,2018,86,2018-03-03,7,R&;B,0.1267872946283472,0.7812142038946163,0.6510267049686136,0.6363636363636364,0.2671226540190824,0.3574382356059804,2
3891,"Wiz Khalifa, Iggy Azalea",Go Hard Or Go Home,2015,86,2015-04-24,2,Rap,0.002993544933562623,0.6162657502863688,0.7286945419725502,0.3636363636363636,0.7358007635423927,0.3722828968296045,0
3892,Chad Brock,Lightning Does The Work,1999,86,1999-10-25,12,Pop,0.02443531358888295,0.6632302405498283,0.6223002447068836,0.6363636363636364,0.3085254010447826,0.555720496235818,4
3893,Drake,Views,2016,86,2016-05-21,0,"Canada,Rap",0.06717570127569218,0.3585337915234822,0.8467922119374401,0.0,0.1858713819623903,0.07963100413529849,1
3894,China Anne McClain,Calling All The Monsters,2011,86,2011-10-27,2,"Disney,Soundtrack,Pop",0.002952645041039361,0.5131729667812143,0.8191296946483668,0.1818181818181818,0.5751978240892073,0.4921005195631429,1
3895,"Zedd, Katy Perry",365,2019,86,2019-03-02,0,"West Coast,Dance-Pop,Electro,Electro-Pop,Electronic,Dance,Pop",0.3466242169408827,0.7239404352806414,0.6776252792850302,0.1818181818181818,0.3041896150833543,0.2259569504824515,3
3896,Carly Rae Jepsen,This Kiss,2012,86,2012-09-28,0,"Pop,Canada",0.007267583702243546,0.7136311569301259,0.8765826151718268,0.0,0.4889631735732921,0.7094687731947833,1
